Basis-of-record,Catalogue-number,Collection-code,Institution-code,Collector,Collector-number,Date-collected,Field-notes,Field-number,Type-status,Taxonomic-name,Identification-qualifier,Identified-by,Date-identified,Count,GenBank-number-s-,Lifestage,Remarks,Sex,Location,Specimen,Image,FileImage
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/seq0015.jpg,./Output/014-seq0015.jpg
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/100xfem056.avi,./Output/015-100xfem056.avi
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/seq0016.jpg,./Output/016-seq0016.jpg
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/seq0001.jpg,./Output/017-seq0001.jpg
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/seq0002.jpg,./Output/018-seq0002.jpg
Living Specimen,DS110,,,None,DS110,None,None,None,None,"<a href=/taxonomy/term/10675"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Myolaimus goodeyorum</a>""",None,None,None,None,"<a href=http://www.ncbi.nlm.nih.gov/nuccore/MF622935"">MF622935</a>~ <a href=""http://www.ncbi.nlm.nih.gov/nuccore/MF622939"">MF622939</a>""",adult,None,Female,None,"<a href=/node/743"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/M.%20goodeyorum%20%282%29.mp4,./Output/019-M.%20goodeyorum%20%282%29.mp4
Living Specimen,DS110,,,None,DS110,None,None,None,None,"<a href=/taxonomy/term/10675"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Myolaimus goodeyorum</a>""",None,None,None,None,"<a href=http://www.ncbi.nlm.nih.gov/nuccore/MF622935"">MF622935</a>~ <a href=""http://www.ncbi.nlm.nih.gov/nuccore/MF622939"">MF622939</a>""",adult,None,Female,None,"<a href=/node/743"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/M.%20goodeyorum%20%283%29.mp4,./Output/020-M.%20goodeyorum%20%283%29.mp4
Living Specimen,DS110,,,None,DS110,None,None,None,None,"<a href=/taxonomy/term/10675"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Myolaimus goodeyorum</a>""",None,None,None,None,"<a href=http://www.ncbi.nlm.nih.gov/nuccore/MF622935"">MF622935</a>~ <a href=""http://www.ncbi.nlm.nih.gov/nuccore/MF622939"">MF622939</a>""",adult,None,Female,None,"<a href=/node/743"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/M.%20goodeyorum%20%284%29.mp4,./Output/021-M.%20goodeyorum%20%284%29.mp4
Living Specimen,DS110 (1),,,None,None,None,None,None,None,"<a href=/taxonomy/term/10675"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Myolaimus goodeyorum</a>""",None,None,None,None,None,adult,None,Male,None,"<a href=/node/745"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/Male%201.mp4,./Output/022-Male%201.mp4
Living Specimen,DS110 (1),,,None,None,None,None,None,None,"<a href=/taxonomy/term/10675"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Myolaimus goodeyorum</a>""",None,None,None,None,None,adult,None,Male,None,"<a href=/node/745"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/Male%204.mp4,./Output/023-Male%204.mp4
